,0
0,Alaska
1,Arkansas
2,Delaware
3,Hawaii
4,Indiana
5,Iowa
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,New Jersey
18,North Carolina
19,Ohio
20,Oklahoma
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,Tennessee
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
